P0,P1,P2,P3,P4
CHOBANI,81947001005,0.375,BLUEBERRY,NONFAT
CHOBANI,81947001051,1,CHOCOLATE & HONEYNAN,LOW FAT
CHOBANI,81947001003,0.375,HONEY,NONFAT
CHOBANI,81947001010,0.375,PINEAPPLE,LOW FAT
CHOBANI,81947001006,0.375,PEACH,NONFAT
CHOBANI,81947001001,0.375,PLAIN,NONFAT
CHOBANI,81947001007,1,PLAIN,NONFAT
CHOBANI,81947001013,2,PLAIN,NONFAT
CHOBANI,81947001031,0.375,PLAIN,LOW FAT
CHOBANI,81947001037,1,PLAIN,LOW FAT
CHOBANI,81947001043,2,PLAIN,LOW FAT
CHOBANI,81947001015,0.375,POMEGRANATE,NONFAT
CHOBANI,81947001012,0.375,RASPBERRY,NONFAT
CHOBANI,81947001026,2,STRAWBERRY,NONFAT
CHOBANI,81947001004,0.375,STRAWBERRY,NONFAT
CHOBANI,81947001032,0.375,STRAWBERRY BANANA,LOW FAT
CHOBANI,81947001002,0.375,VANILLA,NONFAT
CHOBANI,81947001008,1,VANILLA,NONFAT
CHOBANI,81947001014,2,VANILLA,NONFAT
CHOBANI CHAMPIONS,81947001050,1,STRAWNANA & VRRYBRRY,LOW FAT
MORNING SELECT,71207427001,0.5,COFFEE,LOW FAT
MORNING SELECT,73207427008,2,PLAIN,LOW FAT
MORNING SELECT,712074244485,0.5,STRAWBERRY BANANA,LOW FAT
MORNING SELECT,71207427002,0.5,VANILLA,LOW FAT
ANDERSON ERICKSON,0171043666,0.375,APPLE BREAD PUDDING,LOW FAT
ANDERSON ERICKSON,0271043629,0.375,APPLE PIE,LOW FAT
ANDERSON ERICKSON,0271043625,0.375,BLACK CHERRY,LOW FAT
ANDERSON ERICKSON,0171043659,0.375,BANANA VANILLA,1% LOWFAT
ANDERSON ERICKSON,0271043626,0.375,BLUEBERRY,LOW FAT
ANDERSON ERICKSON,0171043622,0.5,CHERRY AND VANILLA,LOW FAT
ANDERSON ERICKSON,0171043655,1.5,CHERRY VANILLA,LOW FAT
ANDERSON ERICKSON,0171043664,0.375,FRENCH VANILLA BEAN,LOW FAT
ANDERSON ERICKSON,0271043631,0.375,KEY LIME PIE,LOW FAT
ANDERSON ERICKSON,0271043630,0.375,LEMON,LOW FAT
ANDERSON ERICKSON,0371043628,0.375,ORANGE CREAM,LOW FAT
ANDERSON ERICKSON,0471043650,0.375,PEACH APRICOT VANILA,LOW FAT
ANDERSON ERICKSON,0171043665,0.375,PEACH COBBLER,LOW FAT
ANDERSON ERICKSON,0271043627,0.375,PEACH,LOW FAT
ANDERSON ERICKSON,0271043634,0.375,PINA COLADA,LOW FAT
ANDERSON ERICKSON,0271043620,1.5,PLAIN,LOW FAT
ANDERSON ERICKSON,0171043621,0.5,PLAIN,LOW FAT
ANDERSON ERICKSON,0271043624,0.375,RED RASPBERRY,LOW FAT
ANDERSON ERICKSON,0271043644,0.375,RASPBERRY VANILLA,LOW FAT
ANDERSON ERICKSON,0171043667,0.375,RSPBRY WHT CHCL ALMN,LOW FAT
ANDERSON ERICKSON,0271043649,0.375,STRAWBERY RHUBARB PI,LOW FAT
ANDERSON ERICKSON,0271043623,0.375,STRAWBERRY,LOW FAT
ANDERSON ERICKSON,0171043654,1.5,STRAWBERRY,LOW FAT
ANDERSON ERICKSON,0271043643,0.375,STRAWBERRY CHSCK,LOW FAT
ANDERSON ERICKSON,0271043639,0.375,STRAWBERRY VANILLA,LOW FAT
ANDERSON ERICKSON,0371043651,0.375,STRAWBERRY SHORTCAKE,LOW FAT
ANDERSON ERICKSON,0271043638,0.375,STRAWBERRY BANANA,LOW FAT
ANDERSON ERICKSON,0271043656,0.375,MISSING,LOW FAT
ANDERSON ERICKSON,0271043636,0.375,VANILLA,LOW FAT
ANDERSON ERICKSON,0171043653,1.5,VANILLA,LOW FAT
ANDERSON ERICKSON,0271043647,0.375,MISSING,LOW FAT
ANDERSON ERICKSON,0171043663,0.375,MISSING,LOW FAT
ANDERSON ERICKSON YO LITE,0171043855,0.375,BLACK CHERRY,FAT FREE
ANDERSON ERICKSON YO LITE,0171043868,0.375,BLUEBERRY BUCKLE,FAT FREE
